country,Population,HighestInfectionCount,PercentPopulationInfected
Brunei,455374,350550,76.98067962
San Marino,34113,25292,74.14182277
Austria,9064678,6083301,67.1099514
South Korea,51782515,34571873,66.76360351
Martinique,349462,230354,65.91675204
Slovenia,2115231,1364008,64.48506097
Jersey,103493,66391,64.15023238
Faroe Islands,54039,34658,64.13516164
Luxembourg,653315,399262,61.11324552
Andorra,79722,48015,60.22804245
Saint Pierre and Miquelon,5760,3426,59.47916667
Niue,1844,1092,59.21908894
France,66277412,39048846,58.91727637
Denmark,5902901,3449547,58.43816456
Reunion,871543,494595,56.74935144
Greece,10412481,5809076,55.78954718
Iceland,380368,211062,55.48889496
Guernsey,63750,35326,55.41333333
Liechtenstein,39338,21628,54.97991764
Falkland Islands,3515,1923,54.7083926
Gibraltar,37631,20550,54.60923175
Portugal,10417074,5671586,54.44509658
Cyprus,1331376,716332,53.8038841
Singapore,5649888,3006155,53.20733792
Israel,9103143,4841558,53.18556459
Guadeloupe,384702,203235,52.82920286
New Zealand,5131731,2668236,51.9948532
Latvia,1881059,977783,51.98045356
Lithuania,2816923,1440630,51.141973
Switzerland,8792180,4481883,50.97578757
Saint Barthelemy,10948,5507,50.30142492
Cook Islands,14747,7375,50.01017156
Georgia,3794782,1864386,49.13025307
Netherlands,17904421,8652923,48.32841565
Germany,84086227,38437886,45.71246371
Nauru,11822,5393,45.61833869
Estonia,1350093,615361,45.5791564
Czechia,10673216,4850686,45.44727662
Bahrain,1533460,696614,45.42759511
Australia,26200987,11861161,45.26990147
Italy,59619106,26968605,45.2348363
Isle of Man,84148,38008,45.16803727
Monaco,38950,17181,44.11039795
Cayman Islands,71610,31472,43.94916911
Saint Martin (French part),28899,12324,42.64507422
Belgium,11641814,4900224,42.0915847
Bonaire Sint Eustatius and Saba,28654,11922,41.60675647
European Union (27),449113463,186774609,41.58739926
Seychelles,125533,51899,41.34291382
Aruba,107792,44224,41.02716343
Montenegro,614649,251280,40.88186916
Marshall Islands,40094,16297,40.6469796
Saint Helena,5369,2166,40.34270814
Puerto Rico,3240972,1252713,38.65238577
Barbados,282324,109082,38.63716864
Serbia,6791215,2567975,37.81318954
United Kingdom,68179315,25082464,36.78896451
Palau,17784,6372,35.82995951
Maldives,524116,186694,35.62074045
Croatia,3907031,1362394,34.87031457
Ireland,5110015,1762252,34.48623928
Slovakia,5473195,1886851,34.4743975
Europe,748314268,254692268,34.03546864
Oceania,45049680,15032781,33.36934025
French Guiana,298319,98041,32.86448399
Wallis and Futuna,11501,3760,32.69280932
Northern Mariana Islands,46101,14985,32.5047179
High-income countries,1410112397,457779797,32.46406442
Guam,165193,52287,31.65206758
Montserrat,4476,1403,31.34495085
Uruguay,3390913,1042913,30.756112
United States,341534041,103436829,30.28595003
Mongolia,3386015,1011489,29.87254929
Tuvalu,10012,2943,29.39472633
United States Virgin Islands,86521,25389,29.34432103
Spain,47828386,13980340,29.23021488
Bermuda,64772,18860,29.11751992
French Polynesia,280388,79451,28.33609142
Micronesia (country),112122,31765,28.33074687
Norway,5456796,1543751,28.29042904
New Caledonia,287130,80203,27.93264375
Chile,19553033,5410189,27.66930839
Anguilla,14202,3904,27.48908604
Finland,5569300,1513469,27.17521053
Japan,124997585,33803572,27.04338008
Sweden,10487335,2779287,26.50136569
Sint Maarten (Dutch part),42163,11051,26.21018428
Mauritius,1276134,332086,26.02281579
Curacao,185350,45883,24.75478824
Costa Rica,5081764,1238916,24.37964455
Dominica,66847,16047,24.00556495
Panama,4400775,1045458,23.75622476
Malta,528194,125029,23.67103754
Hungary,9684308,2238461,23.11431028
Argentina,45407904,10115219,22.27633982
Moldova,3039986,656197,21.58552704
Lebanon,5744492,1239904,21.58422364
Greenland,56014,11971,21.37144285
North America,604356255,124513491,20.6026644
British Virgin Islands,38346,7660,19.97600793
Bulgaria,6825862,1339355,19.62177085
Turkey,87058469,17004724,19.53253279
North Macedonia,1840236,352093,19.13303511
Romania,19166776,3596787,18.76573817
Brazil,210306411,37837183,17.99145486
Qatar,2892466,514524,17.78841998
Belize,402741,71491,17.75111052
Poland,38385734,6804328,17.72618963
American Samoa,48365,8359,17.28315931
Russia,145579889,24901467,17.10501854
Saint Lucia,178794,30253,16.92059018
Grenada,116928,19693,16.84198823
Tonga,105053,16992,16.17469277
South America,430492816,69178548,16.06961729
Kosovo,1717950,274279,15.96548212
Armenia,2880880,454719,15.78403127
Jordan,11256269,1746997,15.52021367
Malaysia,34695494,5329836,15.36175274
Turks and Caicos Islands,45869,6920,15.08644182
Kuwait,4589514,667290,14.53944797
Saint Kitts and Nevis,46732,6607,14.13806385
Mayotte,305279,42027,13.76675107
Botswana,2439895,330699,13.55382096
Peru,33475436,4532724,13.54044799
Ukraine,41048768,5552577,13.52678112
Palestine,5305274,703228,13.25526259
Suriname,623172,82516,13.24128812
Trinidad and Tobago,1495923,191496,12.80119364
Bosnia and Herzegovina,3204802,404289,12.61510071
Canada,38821259,4819055,12.41344337
Cape Verde,519750,64474,12.40481
Colombia,51737944,6401281,12.3725075
Albania,2827614,337215,11.92577912
Vietnam,99680656,11624000,11.66123947
Paraguay,6760460,735759,10.8832683
Belarus,9173240,994052,10.83643293
United Arab Emirates,10242085,1067030,10.41809358
Cuba,11059822,1113808,10.07075882
Bolivia,12077156,1212173,10.0369077
Bahamas,397542,39127,9.842230506
Antigua and Barbuda,92850,9106,9.80721594
World,8021407196,778652552,9.707181458
Tunisia,12119338,1153361,9.516699675
Saint Vincent and the Grenadines,102063,9674,9.478459383
Guyana,821638,75513,9.190543767
Iran,89524247,7627863,8.520443629
Oman,4730229,399449,8.444601731
Upper-middle-income countries,2847730001,239620288,8.414431421
Azerbaijan,10295307,836510,8.125158385
Bhutan,780921,63191,8.091855642
Samoa,215270,17057,7.923537883
Thailand,71735321,5418524,7.55349516
Fiji,919428,69047,7.509777818
Kazakhstan,20034612,1504370,7.508855175
Guatemala,17847877,1254468,7.028667891
Libya,7223804,507269,7.022186648
China,1425179562,99381761,6.973279975
South Africa,62378417,4073065,6.529606226
Asia,4746329727,302171960,6.366434221
Eswatini,1218921,75356,6.182189002
Ecuador,17823900,1080371,6.06136143
Namibia,2889668,172557,5.971516451
Mexico,128613116,7629010,5.93175116
Dominican Republic,11230734,661103,5.886552028
Iraq,44070556,2465545,5.594540264
Jamaica,2839150,157651,5.552753465
Vatican,513,26,5.068226121
Honduras,10463880,473034,4.520636705
Kiribati,130483,5085,3.897059387
Vanuatu,313061,12019,3.83918789
Philippines,113964343,4173631,3.662225298
Tokelau,2312,80,3.460207612
Morocco,37329068,1279115,3.426592381
Nepal,29715435,1003943,3.378523653
Solomon Islands,781075,25954,3.32285632
El Salvador,6280316,202066,3.217449568
India,1425423209,45056117,3.160894022
Sao Tome and Principe,226313,6771,2.991874086
Sri Lanka,22834965,672812,2.946411348
Laos,7559008,219060,2.897999314
Saudi Arabia,32175351,841469,2.615259737
Lower-middle-income countries,3044254723,78234940,2.569920953
Indonesia,278830527,6830274,2.449614852
Gabon,2430750,49069,2.018677363
Venezuela,28213015,552743,1.959177351
Zambia,20152935,349892,1.736183836
East Timor,1369299,23460,1.713285411
Zimbabwe,16069061,266436,1.658068259
Lesotho,2286112,36140,1.580849932
Djibouti,1137101,15690,1.379824659
Mauritania,4875644,63891,1.310411507
Kyrgyzstan,6955792,88953,1.278833525
Bangladesh,169384891,2052275,1.211604523
Myanmar,53756791,643401,1.196873898
Comoros,834191,9109,1.091956159
Rwanda,13651025,133274,0.976292989
Equatorial Guinea,1803549,17130,0.9497939895
Africa,1446883821,13063504,0.9028716619
Cambodia,17201721,139326,0.8099538412
Mozambique,32656242,233909,0.7162765391
Pakistan,243700667,1580631,0.6485952704
Kenya,54252458,344137,0.6343251766
Algeria,45477391,272421,0.5990251288
Afghanistan,40578847,235214,0.5796468293
Ghana,33149152,172750,0.5211294696
Senegal,17651099,89426,0.5066313435
Uzbekistan,34938953,175132,0.5012514256
Gambia,2636472,12627,0.4789354865
Papua New Guinea,10203177,46864,0.4593079195
Egypt,112618252,516023,0.4582054781
Guinea-Bissau,2105535,9614,0.4566060407
Cameroon,27632770,125317,0.4535086421
Togo,9089742,39553,0.4351388631
Malawi,20568731,89168,0.4335124029
Congo,6035104,25234,0.4181203837
Burundi,13321102,54569,0.4096432863
Ethiopia,125384285,501322,0.3998284155
Uganda,47312718,172217,0.363997266
Central African Republic,5098038,15486,0.3037639186
Haiti,11503603,34901,0.3033919025
Angola,35635028,107487,0.3016329888
Eritrea,3409450,10189,0.2988458549
Guinea,14055136,38593,0.2745828998
Low-income countries,716865809,1945038,0.2713252572
Syria,22462170,57423,0.2556431547
Nicaragua,6730662,16398,0.24363131
Madagascar,30437261,68713,0.225752902
Benin,13759507,28036,0.2037573003
Tajikistan,10182228,17786,0.1746768978
South Sudan,11021175,18873,0.1712430843
Somalia,17801895,27334,0.1535454512
Liberia,5373297,8090,0.1505593307
Mali,23072641,33197,0.1438803646
Sudan,49383344,63993,0.1295841772
Nigeria,223150906,267227,0.1197516984
Burkina Faso,22509038,22216,0.09869813183
Democratic Republic of Congo,102396974,101010,0.09864549318
Sierra Leone,8276809,7985,0.09647437799
Tanzania,64711822,43600,0.06737563347
Chad,18455319,7702,0.04173322607
Niger,25311978,9573,0.03782003919
Yemen,38222878,11945,0.03125091732